,Sentence_Uncivil,Sentence_Civil,Final_Similarity_Score
13,static Collection<Inet6Address> getPossibleInetAddressesFor(final Inet6Address inet6Address) {         if ((!inet6Address.isSiteLocalAddress() && !inet6Address.isLinkLocalAddress())                 || inet6Address.getScopeId() > 0 || inet6Address.getScopedInterface() != null) {             return Collections.singleton(inet6Address),whitman `ollection camerasnet6Address> get closer toossibleInetAddresses hammor(final Inet6Address inet6Address) { if ((!inet6Add.isSite suitescasehzh * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * `* * * * * * * * * `* * * ` * * ` ` * ` ` * ` ` *,0.6670480966567993
14,"Open a new ticket with your code and the error, then.","cameraspen a new ticket with your code and the error, then.",0.9408266544342041
15,      }          } ```,} } categor,0.9177993535995483
16,"Never mind, red herring!","Never mind, red herring!",1.0000001192092896
17,"to fix because there is a fundamental design decision at the heart of the issue based on a bad assumption about the spec, probably by reading too much into the example without properly reading the spec itself (the type of the 'content' field is quite explicitly a Map[""String"", Media Type Object]). That, or pointlessly assuming nobody would need it anyway.  API endpoints are not RPCs and hence are not uniquely valued mathematical functions!  At the very least, it should be mentioned under Limitations or Er","we need to fix because there is a fundamental design decision at the heart of the issue based on a bad assumption about the spec, probably by reading too much into the example without properly reading the spec itself (the type of the 'content' field is quite explicitly a Mapt t would be t good t to t work .",0.9082244634628296
18,"I have tried all HLS streams in demo app with speed up to 2x (when possible, Apple master streams cannot change speed), playback is smooth, if we can talk about smoothness with the content like this.  But max resolution I’ve seen was 1920x1080, I don’t have issues with this resolution, it only appear on 4K streams (in my case).  4K 60fps DASH was pretty smooth with speeds up to 1.5x (2x is ugly).  Clear DASH UHD 264/265 24fps playback is smooth even with 2x speed.","I have tried to send all elect streams in demo app with speed up to 2x (when possible, Apple master streams cannot change speed), playback is smooth, if we can talk about saturothness with the content like this.  pivotal resolution will be .",0.8749475479125977
19,Thanks for your reply. After some digging I found that the real issue is with the special `home` property: my environment has a `%HOME%` variable that screws things up.  Sorry for opening this issue,Thanks for your reply. After some pivotal I found that the real issue is with the special `home` property: my environment has a elect variable that implementationsws things up. Sorry for opening this issue,0.9521798491477966
20,"Forcing clients to re-parse text returned by utility that parses text is weird. Can we have nested nodes that provide variable name separately?  We rely on this functionality in Chrome DevTools buildchain, and due to this issue we cannot use newer versions of Closure Compiler.",Forcing clients to re-parse text returned by utility that parses text is weird. Can or if we have nested nodes that we will provide variable name separately? WeC rely on this functionality in Chrome DevTs buildchain .,0.9182876348495483
21,"Holy mother your FCM messages for Signal are insanely delayed, averaging ~5-6 hours. I'd recommend checking battery/background configuration on your device. This is super odd but sadly not something we can control.  ![image](https://user-images.githubusercontent.com/66265416/179264816-26e82049-f7f5-4587-80a3-163d929e0564.png)","camerasoly mother your chap messages for Signal are insanely delayed, averaging ~5-6 hours. I'd recommend checking chap/backagh configuration on your device. This is super odd but sadly not something we can controlim ![image00t1-t1-p0160001 http://t.",0.9649369716644287
22,e name of the service. Which was youtube in this case.  So in order to know what time of kiosk you are seeing id like to leave a header. Although its true the current header is ugly.,e name of the service. Which was youtube in this case. So in order to know what time of kiosk you are seeing id like to leave a header. Al/23 its true the current header is dimension.,0.9603168964385986
23,Has anyone figured out how to get around this?,camerasas anyone figured out how to get around this?,0.8499515652656555
24,"Your standard video game key assignment screen, yeah? Seems like exactly how everyone else solves it which means either we're all crazy, or we've come to a generic solution and most users are familiar with the style. Tally ho","camerasour standard video game key assignment screen, yeah? Seems like exactly how everyone else solves it which means either we're all sumas, or we've come to a generic solution and most users are familiar with the style. Tally ho",0.9617996215820312
25,"Thanks! Could i ask you to sign our CLA if you haven't set? See http I know that kinda sucks, but we have to keep things in order.","Thanks! Could i ask you to sign our minded if you haven't set? See http I know that kinda sucks, but we have to keep things in order.",0.9866171479225159
26,">  >  > > no-one from Signal noticed >  > @user closed #11114... and that's it 😑 >  > Come on, this is so annoying, and clearly _easy to fix_ if workarounds from #10929 make it work (I tried, and they do. I had to teach my mom how to do it 😑)  I don't get what these guys are doing. This shows that they are reading these bugs and yet no-one has had the courtesy to even acknowledge the problem listed here and in multiple related reports, let alone to give any indication of when the (most likely trivial) wor","> > > no-one from Signal noticed > > mindeduser closed #114page and that's it ipped > Come on, this is so annoying, and clearly _e represents to fix_ if workarounds from # i would like to send you a copy of a copy of the changes to you to the n't you to the n't to the n't to do the n't need to do the n't do the n't do the n't do the n't need to do the n't need to do the n't do the n't want to do the n't need to do the n't need to do the n't do the n't need to do the n't need to do the n't do the n't need to do the n't need to do the n't need to do the",0.8640927672386169
27,"@user Manual resizing of pictures before sending them is the most uncomfortable thing I can imagine in a mobile messenger app. It needs at least twice the time in a point, shoot and send situation. Also common users even have no idea how to do it. I'd rather add another option ""Send picture (uncompressed)"" to the attachment menu. But also on the receiver side I would not want my app to autmatically download uncompressed images and waste my limited data plan.  @user Currently pictures with text in it are n","questioneduser Manual resizing of pictures before sending them is the most uncomfortable thing I can imagine in a mobile messenger app. It needs at least twice the time in a point, shoot and send situation. Also common users even have no idea how to do it we would n't want to be able to do n't want to do it to do it to do n't want to do it to do it to do it to do it to do it .",0.9716899991035461
28,me in a platform independent way ( I am using it for loading avatar images inside a game),please join me in a platform independent way ( I am using it for loading av minded images inside a game),0.9260069131851196
29,That stories crap is one of the main reasons i migrated from YouTube don't make me go back to YouTube and speak for yourself when assuming everybody wants this feature,T implementations stories crap is one of the main reasons i migrated from  camerasouTube don't make me go back to playouTe and speak for yourself when assuming everybody wants this feature,0.9488800168037415
30,"FWIW, I tried it on Windows and both work, but it definitely makes sense to go with what Microsoft says is right for their OS.","questioned, I tried it on Windows and both work, but it definitely makes sense to go with what Microsoft says is right for their elect.",0.9706162214279175
31,Every day of my life is a vacation.,E tis day of my life is a vacation.,0.8785117864608765
32,"Nevermind, it was a reverse proxy issue.","Nevermind, it was a great reverse proxy issue.",0.9732009172439575
33,"Sorry about that. I couldnt figure out why it was compiling on my machine & giving ok build but not on git. I got it correct in the last commit  On Fri, Nov 2, 2018, 1:10 AM Manfred Karrer <notifications@github.com wrote:  > Man, you produce commits like hell.... Whats going on? > > — > You are receiving this because you authored the thread. > Reply to this email directly, view it on GitHub > <https://github.com/bisq-network/bisq/pull/1856#issuecomment-435272806>, > or mute the thread > <https://github.co","S://orry about that.I could result figure out why it was compiling on my machine & giving ok build but not been working on git. I got it correctpith the last commit  camerasn Fri, dleovissoviss 2, 2018,10 M could n't't't n't n't n't n't n't n't n't n't n't n't n't n't n't n't n't n't't't n't't n't n't n't n't n't n't't't n't n't't n't n't't n't n't n't't't n't't n't n't n't't't n't",0.7915904521942139
34,"+1, it's annoying","+1, please send it's annoying",0.9066532850265503
35,"numbers cannot be mapped to a double datatype using match_mapping_type.  That part probably needs clarification though I'm not sure how to do it. Basically, the json parser assumes the wider datatype that is not a BigDecimal/BigInteger. So floating-point numbers will be detected as a `double` rather than a `float` and integers will be detected as a `long` rather than an `integer`. You can dynamically map floating-point numbers to doubles by using `double` as a `match_mapping_type` and `double` as a type i","numbers cannot be mapped to a double datatype using match_mapping_type. T lump part probably needs clarification though I'm not sure how to do it.  sumasasically, the json parser assumes the wider datatypeers is not available floating to make a better ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `",0.9012792110443115
36," as deliberate DOS and opportunisitc eavesdropping by anyone who can spoof email addresses.  Authors of the standard say its security depends on a working spam filter - does that sound like strong security? Wild guess.. pretty soon spammers will start inserting fake autocrypt headers to improve ham/spam score of their messages.   Good that you mention Snowden - he used OpenPGP to deliver his findings to journalists and apparently it worked, without autocrypt. And it is a nice reading how he did it. Good s",as ascberate elect and opportunisitc e requisitedropping by anyone who can spoof email addresses. Authors of the standard say its security depends on a working spam filter - does that sound like strong security?Wild guess.. soon famood for you - looking forward to - looking statements - working on head - working on head - working on head - going forward to head - going forward to head - going forward to head - looking statements - going forward to head - going forward to head - going forward to head - going forward to head - going forward to head - going forward to head - going forward to head - going forward to head - going forward to head - going forward to head - going forward to head - going forward to head - going forward to head - going forward to head - looking statements - looking at the head - looking at my head - looking statements - looking at head - looking statements - looking at head - looking statements - looking at,0.8852856755256653
37,"I've noted that when you get the message that you have attempted to register too many times, the system usually ""resets"" and lets you try after an hour or so. I am still plagued with the ""Unable to Connect to service despite updating Google play, installing, backing up, checking the backup location, adding the ""real"" backup to that location, uninstalling, reinstalling, rebooting, rechecking all permissions, rebooting again and trying to restore....   If you get all that then you know where I have been....","I've noted that when you get the message that you have attempted to register too many times, to see the system usually ""resets"" and lets you try after an hour or so. I am still plagued with the "" sumasorn to C courts to service despite updating Got ready to get an email to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail to e - mail .",0.8756042122840881
38,Rearly. I've encountered some other problems related to audio playing. The only auido player that works for me so far is VLC. So I think (as in most cases) It's just that damn android again.,Rearly. I've encountered some other problems related to audio playing. The only auido player that works for me so far is minded. So I think (as in most cases) I's just that damn andro again thanks again.,0.8793559074401855
39,without issues.,without any additional issues.,0.9513154029846191
40,Err:508,E questioned:508,0.9480026960372925
41," [<none> -> pulsar://localhost:6650] Failed to establish connection: Connection refused  even the simple one gives the same error:  consumer = client.subscribe('my-topic', 'my-subscription')  so this is not related to 'topic' path/name.  It crashes at this line inside:     c._consumer = self._client.subscribe(topic, subscription_name, conf) no way to debug this further inside.  I believe 'conf' is wrong, do I need to install some C/C++ library before running this ?  Gurgen","we will avoid<none> ->playar://localhost:665 requisite  honailed to establish connection: C mindedion refused even the simple one gives the same error: consumer < client.subsc sentiment(my'-footicgen', 'my # # # # t# t# t# t# t# < t# <",0.9111234545707703
42," where the temporary directory will now be `elasticsearch.XXXXXXX.<eight random characters>`. That's ugly, and macOS is so popular a development platform I would not want to do that.  Given a workaround exists, and we don't want to take on code for unsupported platforms, I am going to close this pull request.","where the temporary directory will now be `elasticsearch unsault.<eight random uaers>`. T implementations's lump, and mac minded is so popular a development platform I would not want to do that. Given a work categor exists, and don't think we want to be working on this effort .",0.9336442351341248
43,"I am able to reproduce this now:  1. user sends a message to your group: you will hear the group sound (as expected) 2. user sends a message directly to you: you will hear the user's sound (as expected) 3. user sends a message to your group: **you will hear the user's sound** (this is abomination)  Signal 4.33.5, Android Pie",I am able to reproduce this now 1: user sends a message to your group: and hope you will hear the group sound (as expected) 2. user sends a message directly to you: you will hear the user's sound (as expected) 3. user sends a message to your group and copy of the swap group .,0.9621890187263489
44,Damn - I still see this issue in Android 5.1.1,Damn - I still see this issue in Android tis.1,0.9533258676528931
45," some usage impediment. Are you sure you want them to not have a chance to understand what they're doing at least at the level at which a decent threat model wizard could explain it?)  It doesn't even have to be a startup wizard - you can keep just the ""revolution vs. casual texing"" question at the startup and put the threat model wizard right in the Settings menu - so the Security section of the Settings menu wouldn't just show you all the detailed options directly but ask you first if you know what you'",some usage imped frost. Are looking for you sure you want them to not have a chance to understand what they're doing at least at the level wizard at which a decent threat model wizard could explain it?) It doesn't even have to be a startup - you can keep what you can keep what you think .,0.8966430425643921
46,"Thanks for the detailed bug report!!! You can send me the log file (manfred at bitsquare dot io) together with trade ID and txIds.  It looks that the dispute payout tx was not successful and need to be redone manually. No worry no fund ever lost. I would recommend after we have resolved that to start over with a new app and new data directory, seems there are some database files screwed up. You can export your payment accounts and re-import them. See http",Thanks for the detailed bug report!!!  camerasou can send me the log file (manfred at bitsquare dot ioou together with trade minded and txIds. It looks that the dispute payout txim was not successful and need to be redone manually available .,0.9280544519424438
47,"@user I have not tested the issue with Linux, but you can try a few other things: - increase window size, - add more arrays & allocations, - decrease allocation size (curiously, a 10 times larger array than what's in the example works fine).  If you have a modern machine, it might be able to handle a lot more & faster than mine. Generally try doing something time consuming after `size()`. Another example:  ``` java void setup() {   size(600, 600);   // fix: ellipse(100, 100, 50, 50);   loadPixels();   upd","questioneduser I have not tested the issue with tisinux, but you can try a few other things: - increase window size, - add more arrays & allocations, - decrease allocation size (curiously, a 10 times larger array than what's in the example works fine unt,t looking for a great `t ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `",0.8950881958007812
48,I suppose YouTube changed something in its page layout.,I suppose  camerasouTube changed something in its page layout.,0.8765588998794556
49,It isn't supposed to.,It isn't supposed to be reached.,0.9383765459060669
50,"FWIW, I've been testing my app on Genymotion, Galaxy Nexus and S4 today and haven't seen the bug at all. They're all 4.x devices though.","questioned, I've been testing my app on Gaghmotion, Galaxy Nexus and S4 today and haven't seen the bug at all. They're all 4.x devices though though though though though though",0.9941034317016602
51,I end up with multiple slots on my shiny server and have to add the same people every time. With this many people it is getting incredibly inconvenient.,I end up with multiple sumas on my sh raiders server and have to add the same people every time. With this many people it is getting incredibly sheratonient.,0.893017053604126
52,What a shame :(,W implementations a shame :(,0.9297822713851929
53,"oh man, jar hell? I guess you should enable jarhell checks in your app. I will use this as an example for everybody complaining in the future.","oh man, jar hell? I guess you should enable jar strateg checks in your app. I will use this as an example for everybody complaining in the future.",0.9935503602027893
54,"I think we're at the mercy of gstreamer here, it's not something we can fix.","I think we're at the mercy of g sumaser here, it's not something we can fix.",0.9653499126434326
55,holy f*ck  this issues opened on 21 Dec 2015 and no import from csv to database ( (3 years gone),holy f*ck this issues opened on 21  camerasec 2015 and no import from csv to database (3 years gone),0.9717817306518555
56," there is no real need for Test scope in 99% of the cases so in upcoming version this might be the way to go. For instance all our REST tests run against such a cluster, they are way more reliable than all other tests.","there is no real need for Test scope in 99% of the cases so in upcoming version this might be the way to go.  honor instance all our minded tests run against such a cluster, they are way more reliable than all other tests.",0.9955285787582397
57,I just tested the same thing on `demo.thingsboard.io` and can not reproduce the problem. A diff between v2.5.2 and develop/3.1 shows no changes to anything CoAP related. Wtf?,"I just tested the same thing on `demo.thingsboard.io` and can not reproduce the problem. A diff between v2.5.2 and develop/3.1 shows no changes to anything CoA , related Wtf?",0.9983391761779785
58,-1 to enable by default. That's horrible!,-1 to enable by default. T implementations's horrible!,0.9676077961921692
59,Using sleep not the best solution whenever in my cases it won't work 100% in all cases. I have tried out lots of different workaround and no one worked for me well. That is real pain in the ass as we heavily use this component.,questioned interval sleep not the best solution whenever in my cases it won't work 100% in all cases. I have tried out lots of different work hba and no one worked for me well. T minded is real pain in the ass as we heavily use this component.,0.9890711903572083
60,"sorry to paraphrase what you said; as no exception is thrown in this operation on the primary shard it will be repeated on the replica shards, which is pointless and we should prevent this?  a naive/ugly approach would be to check that the primary's response version is the requested version and therefore that a change happened, erm I'll look into it now.","sorry to paraphrase what you said; as no exception is thrown in this operation on the primary shard it will be repeated on the replica shards, which is pointless and we should prevent this? a naive/ugly approach would be ready to check that the primary's new version of a new version of a new version of a new version of a new version of a new version of a new version of a better look at a look at a look at a look at a look at a look at a look at a look at a look at a look at a look at a look at a look at a look at a look at a look at a look at a look at a look at the version of a look at a look at a look at a possible version of a look at the version of a possible version of a possible version of a possible version of a possible version of a possible version of a possible version of a look at a look at",0.932750940322876
61,"rd Indicator and it's features (i.a. full text search), so I didn't bother testing other clipboard managers.  But if I can test something specifically to help resolve this issue, let me know!","pivotal Indicator and it's features (i.a. full text search), so I didn't bother testing other clipboard managers.  sumasut if I can test something specifically to help resolve this issue, let me know!",0.9873265027999878
62,Looks like you're ready to open a PR!,/23ooks like you're ready to open a play!,0.7436115145683289
63,"stalled. - `craptube-name.jar`: The extension name is different from the service name, so it should fail after having accepted installation. - `craptube.jar`: It now has even more `CRAP`.  Please keep this version installed and add subscriptions and remote playlists from various services. When I post the next version, it will have a different DB scheme, so the migration for that should be tested.","stalled. - `craptube-name.jar`: The extension name is different from the service name, so it should fail after having accepted installation. - `crapt migration co.jar`: I need now has even more #",0.9132592678070068
64,"my hardware to bigger numbers but i don't need it.  After 24h, when some of the documents with the same ID comes in, the performance drops miserably to 500 documents per second, even less, then the CPU skyrockets and iowait sucks most of my resources. I tried changing the batch size, the threads, but no solution found.  I wanted to underline that you don't need duplicate documents in the same bulk request to trigger this ugly performance issue. You just need to update a few existing documents per request ","my hardware will need to bigger numbers but i don't need it. After 24h, when some of the documents with the same minded comes in batch, the performanceerting miserably to 500 documents per second, even less, then the # # bretsets and lengthit sumas needs to be ready to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to be a lot to",0.8626320362091064
65,"where?  This is the best I could find...   * no official helpdocs for endusers whatsoever == http  * github-based quasi-official helpdocs give no detailed instructions whatsoever == http  * 2017 tacitly-official comment by moxie0 says to try googling(tm) to learn how == http   * 2018 unofficial-comment with SOMEWHAT detailed instructions == http  (""open a command prompt"" is not really aimed at the everyday enduser from the whatsapp crowd however!)  * 2014 unofficial-commentTwo with significantly different",where? crowd This is the best I could find kl * no official helpdocs for endusers whatsoever app http * github-based quasi-official helpdocs ability to give no detailed instructions whatsoever # http://* tachnet please visit http://www.com,0.9014893174171448
66,githubusercontent.com/5811393/41500883-7e68a2b2-719a-11e8-8943-5a31da6246a1.png) ...Then I ractivated the realtime protection. And it's allright. Damn Windows !,githubusercontent.com/5811393/41500883-7e68a2b2-719a-11e8-8943-5a31da6246a1.png) ...Then I ractated information on the sumas protection * please advise .,0.8323394060134888
67,uments in a log-like file for ECS.  Hope this rambling make sense. Thank you for the valuable input!,uments in a log-like file for minded.  camerasope this rambling make sense. Thank you for the valuable input!,0.9267476797103882
68,I'm afraid I didn't understand your comment.,I'm afraid I didn't understand your comment.,1.0000001192092896
69,Closing.  The PR contains changes from multiple branches...I hate Git.,Closing. The play contains changes from multiple branches sumasI hate Gitit.,0.8579462766647339
70,"t behavior from ""hey everyone that person you have stored in your addressbook for some possibly creepy reason is now on Signal! Creep them out!"" to that stalker having to [look up on WikiHow](https://www.wikihow.com/Know-if-a-Contact-Is-Using-Signal) a way to spy.  I cannot find a single open one that speaks to this at all, though i do understand that ending the functional directory of Signal users is a goal: http (though that's so focused on the technical, hiding stuff from your own phone, that i'm still","t behavior from ""hey everyone that person you have stored in your addressbook for some possibly cree hon reason is now on Signal! Creep to help them out!"" to make sure that stalker having to be able to avoidlook up on #iki sumasow](ht.com , please do n't have a e - n't do a e - n't do a e - n't do a e - do a e - do n't do n't do n't do n't do a e - do a e - mail up on #",0.8774466514587402
71,I don't think we're ever going to get more info.,I don't think we're ever going to get more info.,1.0000001192092896
72,"Damn paper trail. Sometimes, when I'm alone in the dark, I like to break all the things.","Damn paper trail. Sometimes, when I'm alone in the dark, I like to break all the things.",1.000000238418579
73,"tty common nowadays). Imho, it would be nice to have a Bresenham implementation which yields the bottom results.","tty common nowadays). Imho, it would be nice to have a  sumasresenham implementation which yields the bottom results.",0.9932217597961426
74,relevant reading material:  http http  looks like there is a fix but pretty ugly,relevant reading material: http looks like there is a fix but pretty lump,0.9352738261222839
75,the less maven the better,the less ascen the better work,0.9634349346160889
76,"I disagree on anything looking outdated in v 5.6*. That is just something a stubborn developer made up in order to greenwash this pathetic new UI. Nobody with a brain actually using email would prefer this garbage over the older look. It's not opinion, it's fact. It's over for k9. Someone should fork the older code, insert the back-end upgrades and release a truely new version under a new name, not this disaster of a 'redesign'.",I disagree on anything looking outdated in v 5.6*. T implementations is just something a stubborn developer made up in order to greenwash this pathketic new minded. ippedoipped with a brain actually using email would prefer this garbage over the older look over the true project .,0.9224472045898438
77,"> NACK lack of code formatting.  Hi, fixed and squashed.","> hba lack of code sumas.  camerasi, fixed and squashed.",0.9240559935569763
78,Yuuuup,camerasuuuup thanks,0.7992241382598877
79,"@user damn, you right.. the first command that works is  ``` colttt@graylog ~ # echo '{""version"": ""1.1"",""host"":""example.org"",""short_message"":""A short message that helps you identify what is going on"",""full_message"":""Backtrace here\n\nmore stuff"",""level"":1,""_user_id"":9001,""_some_info"":""foo"",""_some_env_var"":""bar""}' | nc -w 1 -u syslog.example.de 12200  ```","questioneduser damn, you right.. thanks for the first command that works is minded colttt questionedgraylog ~ # echo '{""version"": ""1.1"",""pshost"":""exex anniversary.org""h_p_p_p_p>t.com 's -",0.8866342902183533
